Company,Country,HQ,Industry,Scale,Pillar,Tags,About
Upstage,South Korea,Seoul,"Enterprise AI, LLM, Agentic AI",Unicorn,AgenticAI,"#company, #AgenticAI, #SolarLLM, #SovereignAI, #B2B",South Korea's leading generative AI unicorn focusing on practical AI and agentic workflows.
Bear Robotics,USA,Redwood City,"Physical AI, Robotics, Hospitality, Logistics",Scale-up (LG Subsidiary),PhysicalAI,"#company, #PhysicalAI, #SDR, #Logistics, #Hospitality, #LG, #PhysicalAIBody",Silicon Valley-based leader in Physical AI and autonomous mobile robots (AMRs).
Twelve Labs,USA,San Francisco,"Video AI, Multimodal AI, Infrastructure",Scale-up,Infrastructure,"#company, #CreativeTech, #VideoUnderstanding, #Multimodal",Leader in multimodal video understanding building infrastructure to make video searchable.
Wayve,UK,London,"Physical AI, Autonomous Vehicles",Unicorn,PhysicalAI,"#company, #PhysicalAI, #AV, #DeepTech, #London",Leader in embodied AI for autonomous driving using end-to-end deep learning.
Synthesia,UK,London,"Video AI, Creative Tech",Unicorn,VerticalAI,"#company, #VerticalAI, #CreativeTech, #VideoAvatars, #London",AI video generation platform specialized in hyper-realistic interactive avatars.
Akara Robotics,Ireland,Dublin,"Physical AI, Robotics, Healthcare",Scale-up,PhysicalAI,"#company, #PhysicalAI, #Healthcare, #Robotics, #Dublin",Trinity College spin-out developing AI-powered robots for hospital disinfection.
Tines,Ireland,Dublin,"Agentic AI, Cybersecurity, Automation",Scale-up,AgenticAI,"#company, #AgenticAI, #Cybersecurity, #Automation, #Dublin",Cybersecurity orchestration platform for autonomous agentic workflows.
Rebellions,South Korea,Seoul,"AI Hardware, Semiconductors",Unicorn,Infrastructure,"#company, #Infrastructure, #Semiconductors",Fabless AI chip company focusing on ultra-low latency inference.
MakinaRocks,South Korea,Seoul,"Industrial AI, MLOps, Manufacturing",Scale-up,VerticalAI,"#company, #IndustrialAI, #PredictiveMaintenance, #MLOps",Industrial AI startup specializing in anomaly detection and process optimization.
Lunit,South Korea,Seoul,"Healthcare AI, Oncology",Public,VerticalAI,"#company, #VerticalAI, #Healthcare, #MedTech",Leading healthcare AI company focusing on cancer diagnostics and treatment.
Wrtn Technologies,South Korea,Seoul,"B2C AI Portal, GenAI",Series B,AgenticAI,"#company, #AgenticAI, #B2C",Leading B2C AI portal in Korea offering diverse generative AI services.
World Labs,USA,San Francisco,"Spatial AI, 3D Computer Vision",Unicorn,PhysicalAI,"#company, #PhysicalAI, #SpatialIntelligence, #3D",Fei-Fei Li's startup building Large World Models with spatial intelligence.
Cognition AI,USA,San Francisco,"Agentic AI, Software Engineering",Unicorn,AgenticAI,"#company, #AgenticAI, #Devin, #Coding",Creator of Devin the first autonomous AI software engineer.
